"Cycle,""Time (minutes)"",""Distance (mi)"",""MaximumSpeed"",""Average Speed (mph)"",""AverageDrivingSpeed"",""Positive Kinetic Energy (ft/sec2)"",""Kinetic Intensity (1/mi)"",""Stops (#)"""
"Fleet DNA Long-Haul Maximum Power Weighted Work*,""265.1"",""200.6"",""70.8"",""45.39"",""55.08"",""0.26"",""0.09"",""50"""
"Fleet DNA Long-Haul Minimum MPG*,""265.1"",""200.6"",""70.8"",""45.39"",""55.08"",""0.26"",""0.09"",""50"""
"Fleet DNA Local Delivery Representative*,""300"",""116"",""68.84"",""23.2"",""33.56"",""0.76"",""0.33"",""109"""
"Fleet DNA Local Delivery Maximum High Speed*,""302.8"",""273"",""74.79"",""54.09"",""64.79"",""0.3"",""0.08"",""20"""
"Fleet DNA Transit Bus Minimum MPG*,""456.8"",""54.2"",""62.87"",""7.12"",""14.34"",""1.42"",""2.48"",""359"""
"Fleet DNA Drayage Representative*,""516"",""96.9"",""62.57"",""16.65"",""27.33"",""0.89"",""0.54"",""176"""
"Fleet DNA Regional-Haul Minimum MPG*,""584.4"",""412.9"",""73.2"",""42.39"",""55.85"",""0.25"",""0.08"",""66"""
"Fleet DNA Regional-Haul Representative*,""596.7"",""430.8"",""69.51"",""43.32"",""50.71"",""0.34"",""0.12"",""87"""
"Fleet DNA Transit Bus Maximum High Speed*,""622.8"",""204.4"",""66.65"",""19.69"",""28.33"",""1.02"",""0.63"",""361"""
"Fleet DNA Transit Bus Maximum Power Weighted Work*,""622.8"",""204.4"",""66.65"",""19.69"",""28.33"",""1.02"",""0.63"",""361"""
"Fleet DNA Drayage Minimum MPG*,""658.1"",""54.4"",""46.28"",""4.96"",""13.52"",""0.8"",""1.47"",""269"""
"Fleet DNA Regional-Haul Maximum High Speed*,""740.9"",""687.4"",""76.87"",""60.06"",""62.78"",""0.18"",""0.05"",""30"""
"Fleet DNA Local Delivery Maximum Energy*,""763.8"",""657.5"",""73.28"",""51.65"",""61.28"",""0.25"",""0.07"",""52"""
"Fleet DNA Local Delivery Maximum Trip Distance*,""763.8"",""657.5"",""73.28"",""51.65"",""61.28"",""0.25"",""0.07"",""52"""
"Fleet DNA Regional-Haul Maximum Power*,""856"",""574.7"",""80.78"",""40.29"",""52.91"",""0.35"",""0.11"",""118"""
"Fleet DNA Drayage Maximum Power Weighted Work*,""857.3"",""314.8"",""70.66"",""34.31"",""48.64"",""0.36"",""0.14"",""87"""
"Fleet DNA Local Delivery Minimum MPG*,""908.5"",""48.9"",""53.81"",""3.23"",""15.12"",""0.67"",""1.1"",""184"""
"Fleet DNA Transit Bus Representative*,""964.5"",""189.7"",""65.22"",""11.8"",""19.17"",""1.21"",""1.61"",""655"""
"Fleet DNA Transit Bus Maximum Trip Distance*,""1022.1"",""254.4"",""66.22"",""14.93"",""23.14"",""1.25"",""0.97"",""645"""
"Fleet DNA Drayage Maximum High Speed*,""1025.6"",""354.7"",""64.15"",""34.51"",""49.8"",""0.35"",""0.13"",""139"""
"Fleet DNA Transit Bus Maximum Energy*,""1116"",""211.8"",""65.65"",""11.39"",""17.87"",""1.52"",""2.26"",""876"""
"Fleet DNA Long-Haul Representative*,""1183.7"",""938.5"",""72.49"",""47.57"",""60.7"",""0.21"",""0.06"",""47"""
"Fleet DNA Regional-Haul Maximum Trip Distance*,""1219"",""885.9"",""76.15"",""43.6"",""52.86"",""0.43"",""0.14"",""216"""
"Fleet DNA Regional-Haul Maximum Energy*,""1255"",""883.5"",""74.25"",""42.24"",""56.21"",""0.26"",""0.08"",""145"""
"Fleet DNA Drayage Maximum Trip Distance*,""1277.2"",""619.7"",""71.88"",""41.3"",""47.58"",""0.45"",""0.18"",""158"""
"Fleet DNA Long-Haul Maximum High Speed*,""1324"",""1265.6"",""74.37"",""57.36"",""62.29"",""0.2"",""0.06"",""43"""
"Fleet DNA Long-Haul Maximum Energy*,""1418.4"",""1335.9"",""74.76"",""56.51"",""63.47"",""0.23"",""0.07"",""28"""
"Fleet DNA Drayage Maximum Energy*,""1431.4"",""376.3"",""65.84"",""16.31"",""32.79"",""0.53"",""0.28"",""422"""
"Fleet DNA Long-Haul Maximum Trip Distance*,""1438.4"",""1393.7"",""76.66"",""58.13"",""64.65"",""0.25"",""0.07"",""27"""
